Row;Col;Variety;Yield
r1;c1;v3;16,2
r1;c2;v6;17
r1;c3;v5;18,1
r1;c4;v1;16,6
r1;c5;v2;17,7
r1;c6;v4;16,3
r2;c1;v6;16
r2;c2;v2;15,3
r2;c3;v4;16
r2;c4;v3;17,1
r2;c5;v1;16,5
r2;c6;v5;17,6
r3;c1;v1;16,5
r3;c2;v5;18,1
r3;c3;v6;16,7
r3;c4;v4;16,2
r3;c5;v3;16,7
r3;c6;v2;17,3
r4;c1;v2;17,5
r4;c2;v3;16
r4;c3;v1;16,4
r4;c4;v5;18
r4;c5;v4;16,6
r4;c6;v6;16,1
r5;c1;v4;15,7
r5;c2;v1;16,1
r5;c3;v2;16,7
r5;c4;v6;16,3
r5;c5;v5;17,8
r5;c6;v3;16,2
r6;c1;v5;18,3
r6;c2;v4;16,6
r6;c3;v3;16,4
r6;c4;v2;17,6
r6;c5;v6;17,1
r6;c6;v1;16,5
