Variety;Date;Block;Yield
Ladack;A;b1;2,17
Ladack;A;b2;1,88
Ladack;A;b3;1,62
Ladack;A;b4;2,34
Ladack;A;b5;1,58
Ladack;A;b6;1,66
Ladack;B;b1;1,58
Ladack;B;b2;1,26
Ladack;B;b3;1,22
Ladack;B;b4;1,59
Ladack;B;b5;1,25
Ladack;B;b6;0,94
Ladack;C;b1;2,29
Ladack;C;b2;1,6
Ladack;C;b3;1,67
Ladack;C;b4;1,91
Ladack;C;b5;1,39
Ladack;C;b6;1,12
Ladack;D;b1;2,23
Ladack;D;b2;2,01
Ladack;D;b3;1,82
Ladack;D;b4;2,1
Ladack;D;b5;1,66
Ladack;D;b6;1,1
Cossack;A;b1;2,33
Cossack;A;b2;2,01
Cossack;A;b3;1,7
Cossack;A;b4;1,78
Cossack;A;b5;1,42
Cossack;A;b6;1,35
Cossack;B;b1;1,38
Cossack;B;b2;1,3
Cossack;B;b3;1,85
Cossack;B;b4;1,09
Cossack;B;b5;1,13
Cossack;B;b6;1,06
Cossack;C;b1;1,86
Cossack;C;b2;1,7
Cossack;C;b3;1,81
Cossack;C;b4;1,54
Cossack;C;b5;1,67
Cossack;C;b6;0,88
Cossack;D;b1;2,27
Cossack;D;b2;1,81
Cossack;D;b3;2,01
Cossack;D;b4;1,4
Cossack;D;b5;1,31
Cossack;D;b6;1,06
Ranger;A;b1;1,75
Ranger;A;b2;1,95
Ranger;A;b3;2,13
Ranger;A;b4;1,78
Ranger;A;b5;1,31
Ranger;A;b6;1,3
Ranger;B;b1;1,52
Ranger;B;b2;1,47
Ranger;B;b3;1,8
Ranger;B;b4;1,37
Ranger;B;b5;1,01
Ranger;B;b6;1,31
Ranger;C;b1;1,55
Ranger;C;b2;1,61
Ranger;C;b3;1,82
Ranger;C;b4;1,56
Ranger;C;b5;1,23
Ranger;C;b6;1,13
Ranger;D;b1;1,56
Ranger;D;b2;1,72
Ranger;D;b3;1,99
Ranger;D;b4;1,55
Ranger;D;b5;1,51
Ranger;D;b6;1,33
