Rep;Block;Variety;Yield
r1;b1;v11;4,1172
r1;b1;v04;4,4461
r1;b1;v05;5,8757
r1;b1;v22;4,5784
r1;b2;v21;4,654
r1;b2;v10;4,1736
r1;b2;v20;4,0141
r1;b2;v02;4,335
r1;b3;v23;4,2323
r1;b3;v14;4,7572
r1;b3;v16;4,4906
r1;b3;v18;3,9737
r1;b4;v13;4,253
r1;b4;v03;3,342
r1;b4;v19;4,7269
r1;b4;v08;4,9989
r1;b5;v17;4,7876
r1;b5;v15;5,0902
r1;b5;v07;4,1505
r1;b5;v01;5,1202
r1;b6;v06;4,7085
r1;b6;v12;5,256
r1;b6;v24;4,9577
r1;b6;v09;3,3986
r2;b1;v08;3,9926
r2;b1;v20;3,6056
r2;b1;v14;4,5294
r2;b1;v04;4,3599
r2;b2;v24;3,9039
r2;b2;v15;4,9114
r2;b2;v03;3,7999
r2;b2;v23;4,3042
r2;b3;v12;5,3127
r2;b3;v11;5,1163
r2;b3;v21;5,3802
r2;b3;v17;5,0744
r2;b4;v05;5,1202
r2;b4;v09;4,2955
r2;b4;v10;4,9057
r2;b4;v01;5,7161
r2;b5;v02;5,1566
r2;b5;v18;5,0988
r2;b5;v13;5,484
r2;b5;v22;5,0969
r2;b6;v19;5,3148
r2;b6;v07;4,6297
r2;b6;v06;5,1751
r2;b6;v16;5,3024
r3;b1;v11;3,9205
r3;b1;v01;4,6512
r3;b1;v14;4,3887
r3;b1;v19;4,5552
r3;b2;v02;4,051
r3;b2;v15;4,6783
r3;b2;v09;3,1407
r3;b2;v08;3,9821
r3;b3;v17;4,3234
r3;b3;v18;4,2486
r3;b3;v04;4,396
r3;b3;v06;4,2474
r3;b4;v12;4,1746
r3;b4;v13;4,7512
r3;b4;v10;4,0875
r3;b4;v23;3,8721
r3;b5;v21;4,413
r3;b5;v22;4,2397
r3;b5;v16;4,3852
r3;b5;v24;3,5655
r3;b6;v03;2,8873
r3;b6;v05;4,1972
r3;b6;v20;3,7349
r3;b6;v07;3,6096
