Block;Variety;Nitro;Yield
I;Victory;n0.0;111
I;Victory;n0.2;130
I;Victory;n0.4;157
I;Victory;n0.6;174
I;Golden Rain;n0.0;117
I;Golden Rain;n0.2;114
I;Golden Rain;n0.4;161
I;Golden Rain;n0.6;141
I;Marvellous;n0.0;105
I;Marvellous;n0.2;140
I;Marvellous;n0.4;118
I;Marvellous;n0.6;156
II;Victory;n0.0;61
II;Victory;n0.2;91
II;Victory;n0.4;97
II;Victory;n0.6;100
II;Golden Rain;n0.0;70
II;Golden Rain;n0.2;108
II;Golden Rain;n0.4;126
II;Golden Rain;n0.6;149
II;Marvellous;n0.0;96
II;Marvellous;n0.2;124
II;Marvellous;n0.4;121
II;Marvellous;n0.6;144
III;Victory;n0.0;68
III;Victory;n0.2;64
III;Victory;n0.4;112
III;Victory;n0.6;86
III;Golden Rain;n0.0;60
III;Golden Rain;n0.2;102
III;Golden Rain;n0.4;89
III;Golden Rain;n0.6;96
III;Marvellous;n0.0;89
III;Marvellous;n0.2;129
III;Marvellous;n0.4;132
III;Marvellous;n0.6;124
IV;Victory;n0.0;74
IV;Victory;n0.2;89
IV;Victory;n0.4;81
IV;Victory;n0.6;122
IV;Golden Rain;n0.0;64
IV;Golden Rain;n0.2;103
IV;Golden Rain;n0.4;132
IV;Golden Rain;n0.6;133
IV;Marvellous;n0.0;70
IV;Marvellous;n0.2;89
IV;Marvellous;n0.4;104
IV;Marvellous;n0.6;117
V;Victory;n0.0;62
V;Victory;n0.2;90
V;Victory;n0.4;100
V;Victory;n0.6;116
V;Golden Rain;n0.0;80
V;Golden Rain;n0.2;82
V;Golden Rain;n0.4;94
V;Golden Rain;n0.6;126
V;Marvellous;n0.0;63
V;Marvellous;n0.2;70
V;Marvellous;n0.4;109
V;Marvellous;n0.6;99
VI;Victory;n0.0;53
VI;Victory;n0.2;74
VI;Victory;n0.4;118
VI;Victory;n0.6;113
VI;Golden Rain;n0.0;89
VI;Golden Rain;n0.2;82
VI;Golden Rain;n0.4;86
VI;Golden Rain;n0.6;104
VI;Marvellous;n0.0;97
VI;Marvellous;n0.2;99
VI;Marvellous;n0.4;119
VI;Marvellous;n0.6;121
